song,album_name,date_of_release,duration,popularity,tempo,danceability,loudness,artist_name
Blinding Lights,After Hours,2020-03-20,3.33,97,171.005,0.514,-5.934,The Weeknd
Circles,Hollywood's Bleeding,2019-09-06,3.59,90,120.042,0.695,-3.497,Post Malone
The Box,Please Excuse Me For Being Antisocial,2019-12-06,3.28,90,116.971,0.896,-6.687,Roddy Ricch
Don't Start Now,Don't Start Now,2019-10-31,3.05,87,123.941,0.794,-4.521,Dua Lipa
Rockstar,BLAME IT ON BABY,2020-04-17,3.03,94,89.977,0.746,-7.956,DaBaby Featuring Roddy Ricch
Adore You,Fine Line,2019-12-13,3.45,88,99.048,0.676,-3.675,Harry Styles
Life Is Good,Life Is Good (feat. Drake),2020-01-10,3.96,86,142.037,0.676,-5.831,Future Featuring Drake
Memories,Memories,2019-09-20,3.16,90,91.019,0.764,-7.209,Maroon 5
The Bones,GIRL,2019-03-08,3.29,78,77.002,0.612,-6.642,Maren Morris
Someone You Loved,Divinely Uninspired To A Hellish Extent,2019-05-17,3.04,91,109.891,0.501,-5.679,Lewis Capaldi
Say So,Hot Pink,2019-11-07,3.96,87,110.962,0.787,-4.577,Doja Cat
I Hope,Goldmine,2020-06-19,3.5,74,74.942,0.554,-6.495,Gabby Barrett Featuring Charlie Puth
Whats Poppin,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2020-06-24,3.79,88,145.013,0.904,-5.224,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,3.49,90,98.027,0.824,-6.4,Tones And I
Savage,Savage Remix (feat. Beyoncé),2020-04-29,4.03,82,84.459,0.822,-4.772,Megan Thee Stallion
Roxanne,ROXANNE,2019-10-10,2.73,88,116.735,0.621,-5.616,Arizona Zervas
Intentions,Intentions,2020-02-07,3.55,83,148.014,0.811,-6.644,Justin Bieber Featuring Quavo
Everything I Wanted,everything i wanted,2019-11-13,4.09,88,120.006,0.704,-14.454,Billie Eilish
Roses,Roses (Imanbek Remix),2019-09-13,2.94,76,121.962,0.785,-5.457,SAINt JHN
Watermelon Sugar,Fine Line,2019-12-13,2.9,93,95.39,0.548,-4.209,Harry Styles
Before You Go,Before You Go,2019-11-19,3.59,87,111.881,0.459,-4.858,Lewis Capaldi
Falling,Falling,2018-10-05,2.66,87,127.085,0.785,-8.756,Trevor Daniel
"10,000 Hours","10,000 Hours (with Justin Bieber)",2019-10-04,2.79,86,89.991,0.654,-4.644,Dan + Shay & Justin Bieber
WAP,WAP (feat. Megan Thee Stallion),2020-08-07,3.13,95,133.073,0.935,-7.509,Cardi B Featuring Megan Thee Stallion
Ballin',Perfect Ten,2019-06-28,3.01,85,97.008,0.809,-6.678,Mustard & Roddy Ricch
hot girl bummer,everything means nothing,2020-08-21,3.14,87,129.992,0.782,-7.106,
Blueberry Faygo,Blueberry Faygo,2020-02-07,2.71,85,99.034,0.774,-7.909,Lil Mosey
Heartless,After Hours,2020-03-20,3.3,82,170.062,0.537,-5.507,The Weeknd
BOP,KIRK,2019-09-27,2.66,85,126.77,0.769,-3.909,DaBaby
Lose You To Love Me,Rare,2020-01-10,3.44,85,102.819,0.488,-8.985,Selena Gomez
Good as Hell,Cuz I Love You (Super Deluxe),2019-04-17,2.66,74,95.982,0.682,-3.18,
Toosie Slide,Toosie Slide,2020-04-03,4.12,85,81.618,0.834,-9.75,Drake
Break My Heart,Future Nostalgia,2020-03-27,3.7,86,113.013,0.73,-3.434,Dua Lipa
Chasin' You,If I Know Me,2018-04-27,3.42,80,97.074,0.631,-5.785,Morgan Wallen
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),2020-06-11,2.86,90,150.076,0.767,-8.52,Jawsh 685 x Jason Derulo
No Guidance,Indigo,2019-06-28,4.34,84,92.928,0.696,-6.756,Chris Brown Featuring Drake
My Oh My,Romance,2019-12-06,2.85,82,105.046,0.724,-6.024,Camila Cabello Featuring DaBaby
Dynamite,Dynamite (DayTime Version),2020-08-28,3.32,93,114.044,0.746,-4.41,BTS
Go Crazy,Slime & B,2020-05-08,2.95,88,94.148,0.755,-8.932,Chris Brown & Young Thug
High Fashion,Please Excuse Me For Being Antisocial,2019-12-06,3.67,83,97.956,0.831,-8.442,Roddy Ricch Featuring Mustard
Laugh Now Cry Later,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,4.36,92,133.976,0.761,-8.871,Drake Featuring Lil Durk
